row_id,Product,Subsystem,SystemElement,Function,FailureMode,FailureCause,FailureEffect,PreventiveMeasure,DetectiveMeasure,SeverityRating,OccurrenceRating,DetectionRating
997,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for sensors (flywheel and coupling magnetic pickup e.g. impulse driver),Incorrect positioning of sensors,Rear end cover design,"Damage during service (e.g. interface components, sensors,..)",,,,,
998,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for sensors (flywheel and coupling magnetic pickup e.g. impulse driver),Vibration is too high,Crankcase design,Sensor failure,,,,,
999,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for sensors (flywheel and coupling magnetic pickup e.g. impulse driver),Vibration is too high,"Transient engine operation (start up, cool down)",Sensor failure,,,,,
1000,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for sensors (flywheel and coupling magnetic pickup e.g. impulse driver),Vibration is too high,Assembly process / Design for assembly,Sensor failure,,,,,
1001,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for sensors (flywheel and coupling magnetic pickup e.g. impulse driver),Vibration is too high,Front/End cover design,Loosening of bolted joints (e.g. sensors),,,,,
1002,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for sensors (flywheel and coupling magnetic pickup e.g. impulse driver),Vibration is too high,Geometry tolerances / wrong tolerance specification,Loosening of bolted joints (e.g. sensors),,,,,
1003,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for sensors (flywheel and coupling magnetic pickup e.g. impulse driver),Vibration is too high,Starter system,Loosening of bolted joints (e.g. sensors),,,,,
1004,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for sensors (flywheel and coupling magnetic pickup e.g. impulse driver),Poor serviceability,Crankcase design,Increased service effort,,,,,
1005,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for sensors (flywheel and coupling magnetic pickup e.g. impulse driver),Poor serviceability,Assembly process / Design for assembly,Increased service effort,,,,,
1006,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for sensors (flywheel and coupling magnetic pickup e.g. impulse driver),Poor serviceability,Front/End cover design,"Damage during service (e.g. interface components, sensors,..)",,,,,
1007,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for sensors (flywheel and coupling magnetic pickup e.g. impulse driver),Poor serviceability,Geometry tolerances / wrong tolerance specification,"Damage during service (e.g. interface components, sensors,..)",,,,,
1008,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for sensors (flywheel and coupling magnetic pickup e.g. impulse driver),Poor serviceability,Sensor specifications,"Damage during service (e.g. interface components, sensors,..)",,,,,
1009,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for flywheel,Insufficient clearance,Crankcase design,Flywheel damage,,,,,
1010,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for flywheel,Insufficient clearance,Assembly process / Design for assembly,Flywheel damage,,,,,
1011,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for flywheel,Insufficient clearance,Bolted joint design,Flywheel damage,,,,,
1012,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for flywheel,Insufficient clearance,Geometry tolerances / wrong tolerance specification,Flywheel damage,,,,,
1013,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for flywheel,Insufficient clearance,Starter system interface,Flywheel damage,,,,,
1014,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for flywheel,Insufficient clearance,Rear end cover design,Flywheel damage,,,,,
1015,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for cable routing,Insufficient clearance,Crankcase design,Unable to assemble engine,,,,,
1016,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for cable routing,Insufficient clearance,Assembly process / Design for assembly,Unable to assemble engine,,,,,
1017,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for cable routing,Insufficient clearance,Bolted joint design,Unable to assemble engine,,,,,
1018,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for cable routing,Insufficient clearance,Geometry tolerances / wrong tolerance specification,Unable to assemble engine,,,,,
1019,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for cable routing,Insufficient clearance,Starter system,Unable to assemble engine,,,,,
1020,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for cable routing,Insufficient clearance,Rear end cover design,Unable to assemble engine,,,,,
1021,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for cable routing,Cable breakage to initial support,CCV (blow-by) system design,Sensor failure,,,,,
1022,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for cable routing,Cable breakage to initial support,Design for maintenance,Sensor failure,,,,,
1023,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for cable routing,Cable breakage to initial support,Design for vibration,Sensor failure,,,,,
1024,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for cable routing,Cable breakage to initial support,Crankcase structural design,Faulty sensor function can lead to engine trip,,,,,
1025,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for cable routing,Cable breakage to initial support,Sensor specification,Faulty sensor function can lead to engine trip,,,,,
1026,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for flywheel locking (dock),Insufficient clearence,Crankcase design,Reduced servicability,,,,,
1027,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for flywheel locking (dock),Insufficient clearence,Assembly process / Design for assembly,Reduced servicability,,,,,
1028,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for flywheel locking (dock),Insufficient clearence,Bolted joint design,Reduced servicability,,,,,
1029,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for flywheel locking (dock),Insufficient clearence,Geometry tolerances / wrong tolerance specification,Reduced servicability,,,,,
1030,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for flywheel locking (dock),Insufficient clearence,Starter system,Reduced servicability,,,,,
1031,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for flywheel locking (dock),Insufficient clearence,Rear end cover design,Reduced servicability,,,,,
1032,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for maintenance cover,Insufficient clearance,Crankcase design,Reduced serviceability,,,,,
1033,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for maintenance cover,Insufficient clearance,Assembly process / Design for assembly,Reduced serviceability,,,,,
1034,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for maintenance cover,Insufficient clearance,Bolted joint design,Reduced serviceability,,,,,
1035,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for maintenance cover,Insufficient clearance,Geometry tolerances / wrong tolerance specification,Reduced serviceability,,,,,
1036,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for maintenance cover,Insufficient clearance,Starter system,Reduced serviceability,,,,,
1037,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides installation space for maintenance cover,Insufficient clearance,Rear end cover design,Reduced serviceability,,,,,
1038,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides maintenance space for removing camshaft,Insufficient clearence,Crankcase design,Reduced servicability,,,,,
1039,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides maintenance space for removing camshaft,Insufficient clearence,Assembly process / Design for assembly,Reduced servicability,,,,,
1040,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides maintenance space for removing camshaft,Insufficient clearence,Bolted joint design,Reduced servicability,,,,,
1041,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides maintenance space for removing camshaft,Insufficient clearence,Geometry tolerances / wrong tolerance specification,Reduced servicability,,,,,
1042,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides maintenance space for removing camshaft,Insufficient clearence,Starter system,Reduced servicability,,,,,
1043,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides maintenance space for removing camshaft,Insufficient clearence,Rear end cover design,Reduced servicability,,,,,
1044,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),"Provides structural support (e.g. starter motos, oil pan)",Insufficient structural support,Crankcase design,Damage on interface components,,,,,
1045,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),"Provides structural support (e.g. starter motos, oil pan)",Insufficient structural support,Assembly process / Design for assembly,Damage on interface components,,,,,
1046,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),"Provides structural support (e.g. starter motos, oil pan)",Insufficient structural support,Bolted joint design,Damage on interface components,,,,,
1047,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),"Provides structural support (e.g. starter motos, oil pan)",Insufficient structural support,Geometry tolerances / wrong tolerance specification,Damage on interface components,,,,,
1048,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),"Provides structural support (e.g. starter motos, oil pan)",Insufficient structural support,Starter system,Damage on interface components,,,,,
1049,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),"Provides structural support (e.g. starter motos, oil pan)",Insufficient structural support,Rear end cover design,Damage on interface components,,,,,
1050,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),"Provides structural support (e.g. starter motos, oil pan)",Insufficient structural support,Crankcase design,Lack of stiffness (excessive movement),,,,,
1051,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),"Provides structural support (e.g. starter motos, oil pan)",Insufficient structural support,Assembly process / Design for assembly,Lack of stiffness (excessive movement),,,,,
1052,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),"Provides structural support (e.g. starter motos, oil pan)",Insufficient structural support,Bolted joint design,Lack of stiffness (excessive movement),,,,,
1053,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),"Provides structural support (e.g. starter motos, oil pan)",Insufficient structural support,Geometry tolerances / wrong tolerance specification,Lack of stiffness (excessive movement),,,,,
1054,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),"Provides structural support (e.g. starter motos, oil pan)",Insufficient structural support,Starter system,Lack of stiffness (excessive movement),,,,,
1055,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),"Provides structural support (e.g. starter motos, oil pan)",Insufficient structural support,Rear end cover design,Lack of stiffness (excessive movement),,,,,
1056,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),"Provides structural support (e.g. starter motos, oil pan)",Insufficient structural support,Crankcase design,Loosening of bolts,,,,,
1057,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),"Provides structural support (e.g. starter motos, oil pan)",Insufficient structural support,Assembly process / Design for assembly,Loosening of bolts,,,,,
1058,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),"Provides structural support (e.g. starter motos, oil pan)",Insufficient structural support,Bolted joint design,Loosening of bolts,,,,,
1059,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),"Provides structural support (e.g. starter motos, oil pan)",Insufficient structural support,Geometry tolerances / wrong tolerance specification,Loosening of bolts,,,,,
1060,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),"Provides structural support (e.g. starter motos, oil pan)",Insufficient structural support,Starter system,Loosening of bolts,,,,,
1061,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),"Provides structural support (e.g. starter motos, oil pan)",Insufficient structural support,Rear end cover design,Loosening of bolts,,,,,
1062,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provices structural support for bell housing,Insufficient structural support,Crankcase design,Damage on interface components,,,,,
1063,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provices structural support for bell housing,Insufficient structural support,Assembly process / Design for assembly,Damage on interface components,,,,,
1064,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provices structural support for bell housing,Insufficient structural support,Bolted joint design,Damage on interface components,,,,,
1065,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provices structural support for bell housing,Insufficient structural support,Geometry tolerances / wrong tolerance specification,Damage on interface components,,,,,
1066,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provices structural support for bell housing,Insufficient structural support,Starter system,Damage on interface components,,,,,
1067,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provices structural support for bell housing,Insufficient structural support,Rear end cover design,Damage on interface components,,,,,
1068,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provices structural support for bell housing,Insufficient structural support,Crankcase design,Lack of stiffness (excessive movement),,,,,
1069,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provices structural support for bell housing,Insufficient structural support,Assembly process / Design for assembly,Lack of stiffness (excessive movement),,,,,
1070,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provices structural support for bell housing,Insufficient structural support,Bolted joint design,Lack of stiffness (excessive movement),,,,,
1071,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provices structural support for bell housing,Insufficient structural support,Geometry tolerances / wrong tolerance specification,Lack of stiffness (excessive movement),,,,,
1072,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provices structural support for bell housing,Insufficient structural support,Starter system,Lack of stiffness (excessive movement),,,,,
1073,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provices structural support for bell housing,Insufficient structural support,Rear end cover design,Lack of stiffness (excessive movement),,,,,
1074,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provices structural support for bell housing,Insufficient structural support,Crankcase design,Loosening of bolts,,,,,
1075,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provices structural support for bell housing,Insufficient structural support,Assembly process / Design for assembly,Loosening of bolts,,,,,
1076,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provices structural support for bell housing,Insufficient structural support,Bolted joint design,Loosening of bolts,,,,,
1077,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provices structural support for bell housing,Insufficient structural support,Geometry tolerances / wrong tolerance specification,Loosening of bolts,,,,,
1078,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provices structural support for bell housing,Insufficient structural support,Starter system,Loosening of bolts,,,,,
1079,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provices structural support for bell housing,Insufficient structural support,Rear end cover design,Loosening of bolts,,,,,
1080,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Oil contamination,Crankcase design,Particles in oil,,,,,
1081,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Oil contamination,Assembly process / Design for assembly,Particles in oil,,,,,
1082,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Oil contamination,O-Ring aging,Particles in oil,,,,,
1083,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Oil contamination,Cleanliness,Particles in oil,,,,,
1084,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Oil contamination,Corrosion due to humidity in the engine room,Particles in oil,,,,,
1085,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Oil contamination,Lubrication system,Particles in oil,,,,,
1086,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Oil contamination,Sealant / Gasket aging,Particles in oil,,,,,
1087,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Oil contamination,Wrong oil maintenance plan,Particles in oil,,,,,
1088,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Oil contamination,Crankcase,Particles in oil,,,,,
1089,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Oil contamination,Gear design,Particles in oil,,,,,
1090,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Oil contamination,Gear wear,Particles in oil,,,,,
1091,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Oil contamination,Oil pan design,Particles in oil,,,,,
1092,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Oil contamination,Crankcase design,Air in oil,,,,,
1093,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Oil contamination,Assembly process / Design for assembly,Air in oil,,,,,
1094,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Oil contamination,O-Ring aging,Air in oil,,,,,
1095,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Oil contamination,Cleanliness,Air in oil,,,,,
1096,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Oil contamination,Corrosion due to humidity in the engine room,Air in oil,,,,,
1097,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Oil contamination,Lubrication system,Air in oil,,,,,
1098,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Oil contamination,Sealant / Gasket aging,Air in oil,,,,,
1099,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Oil contamination,Wrong oil maintenance plan,Air in oil,,,,,
1100,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Oil contamination,Crankcase,Air in oil,,,,,
1101,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Oil contamination,Gear design,Air in oil,,,,,
1102,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Oil contamination,Gear wear,Air in oil,,,,,
1103,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Oil contamination,Oil pan design,Air in oil,,,,,
1104,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Insufficient lubrication,Crankcase design,High gear pitting,,,,,
1105,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Insufficient lubrication,Assembly process / Design for assembly,High gear pitting,,,,,
1106,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Insufficient lubrication,Cleanliness,High gear pitting,,,,,
1107,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Insufficient lubrication,Geometry tolerances / wrong tolerance specification,High gear pitting,,,,,
1108,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Insufficient lubrication,Lubrication system,High gear pitting,,,,,
1109,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Insufficient lubrication,Gear design,High gear pitting,,,,,
1110,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Insufficient lubrication,Oil pan design,High gear pitting,,,,,
1111,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Insufficient lubrication,Rear end cover design,High gear pitting,,,,,
1112,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Provides oil jet to gears (e.g. positioning) - Insufficient lubrication,Crankcase design,High gear pitting,,,,,
1113,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Provides oil jet to gears (e.g. positioning) - Insufficient lubrication,Assembly process / Design for assembly,High gear pitting,,,,,
1114,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Provides oil jet to gears (e.g. positioning) - Insufficient lubrication,Cleanliness,High gear pitting,,,,,
1115,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Provides oil jet to gears (e.g. positioning) - Insufficient lubrication,Geometry tolerances / wrong tolerance specification,High gear pitting,,,,,
1116,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Provides oil jet to gears (e.g. positioning) - Insufficient lubrication,Lubrication system,High gear pitting,,,,,
1117,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Provides oil jet to gears (e.g. positioning) - Insufficient lubrication,Gear design,High gear pitting,,,,,
1118,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Provides oil jet to gears (e.g. positioning) - Insufficient lubrication,Oil pan design,High gear pitting,,,,,
1119,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Directs/leads oil to gears,Provides oil jet to gears (e.g. positioning) - Insufficient lubrication,Rear end cover design,High gear pitting,,,,,
1120,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides oil jet to gears (e.g. positioning),Insufficient lubrication,Crankcase design,High gear pitting due to inadequate oil jet supply,,,,,
1121,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides oil jet to gears (e.g. positioning),Insufficient lubrication,Assembly process / Design for assembly,High gear pitting due to inadequate oil jet supply,,,,,
1122,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides oil jet to gears (e.g. positioning),Insufficient lubrication,Cleanliness,High gear pitting due to inadequate oil jet supply,,,,,
1123,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides oil jet to gears (e.g. positioning),Insufficient lubrication,Geometry tolerances / wrong tolerance specification,High gear pitting due to inadequate oil jet supply,,,,,
1124,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides oil jet to gears (e.g. positioning),Insufficient lubrication,Lubrication system,High gear pitting due to inadequate oil jet supply,,,,,
1125,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides oil jet to gears (e.g. positioning),Insufficient lubrication,Gear design,High gear pitting due to inadequate oil jet supply,,,,,
1126,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides oil jet to gears (e.g. positioning),Insufficient lubrication,Oil pan design,High gear pitting due to inadequate oil jet supply,,,,,
1127,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides oil jet to gears (e.g. positioning),Insufficient lubrication,Rear end cover design,High gear pitting due to inadequate oil jet supply,,,,,
1128,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides oil jet to gears (e.g. positioning),Oil contamination,Crankcase design,Particles in oil leading to accelerated gear wear,,,,,
1129,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides oil jet to gears (e.g. positioning),Oil contamination,Assembly process / Design for assembly,Particles in oil leading to accelerated gear wear,,,,,
1130,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides oil jet to gears (e.g. positioning),Oil contamination,O-Ring aging,Particles in oil leading to accelerated gear wear,,,,,
1131,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides oil jet to gears (e.g. positioning),Oil contamination,Cleanliness,Particles in oil leading to accelerated gear wear,,,,,
1132,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides oil jet to gears (e.g. positioning),Oil contamination,Corrosion due to humidity in the engine room,Particles in oil leading to accelerated gear wear,,,,,
1133,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides oil jet to gears (e.g. positioning),Oil contamination,Lubrication system,Particles in oil leading to accelerated gear wear,,,,,
1134,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides oil jet to gears (e.g. positioning),Oil contamination,Sealant / Gasket aging,Particles in oil leading to accelerated gear wear,,,,,
1135,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides oil jet to gears (e.g. positioning),Oil contamination,Wrong oil maintenance plan,Particles in oil leading to accelerated gear wear,,,,,
1136,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides oil jet to gears (e.g. positioning),Oil contamination,Crankcase,Particles in oil leading to accelerated gear wear,,,,,
1137,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides oil jet to gears (e.g. positioning),Functional flow interruption,Geometry tolerances / wrong tolerance specification,Reduced or blocked oil jet to gears causing lubrication failure,,,,,
1138,Gas Engine Type 4,Engine Block,Rear end cover (flywheel side),Provides oil jet to gears (e.g. positioning),Functional fluctuation,Lubrication system pressure fluctuation,Intermittent oil jet to gears causing variable lubrication and increased wear,,,,,
1139,Gas Engine Type 4,Engine Block,V-room insulation,Insulates the gas from heat of the crankcase (20),Too high temperature gradient of intake mixture,Design for maintenance,Higher gas temperature leading to engine knocking at the end cylinders (Away from intake opening (v-room entrance)),,,,,
1140,Gas Engine Type 4,Engine Block,V-room insulation,Insulates the gas from heat of the crankcase (20),Too high temperature gradient of intake mixture,"Transient engine operation (start up, cool down)",Higher gas temperature leading to engine knocking at the end cylinders (Away from intake opening (v-room entrance)),,,,,
1141,Gas Engine Type 4,Engine Block,V-room insulation,Insulates the gas from heat of the crankcase (20),Too high temperature gradient of intake mixture,V-room design,Higher gas temperature leading to engine knocking at the end cylinders (Away from intake opening (v-room entrance)),,,,,
1142,Gas Engine Type 4,Engine Block,V-room insulation,Insulates the gas from heat of the crankcase (20),Too high temperature gradient of intake mixture,Material selection,Higher gas temperature leading to engine knocking at the end cylinders (Away from intake opening (v-room entrance)),,,,,
1143,Gas Engine Type 4,Engine Block,V-room insulation,Insulates the gas from heat of the crankcase (20),Too high temperature gradient of intake mixture,Casting tolerances (Crankcase),Higher gas temperature leading to engine knocking at the end cylinders (Away from intake opening (v-room entrance)),,,,,
1144,Gas Engine Type 4,Engine Block,V-room insulation,Insulates the gas from heat of the crankcase (20),Too high temperature gradient of intake mixture,Combustion system,Higher gas temperature leading to engine knocking at the end cylinders (Away from intake opening (v-room entrance)),,,,,
1145,Gas Engine Type 4,Engine Block,V-room insulation,Insulates the gas from heat of the crankcase (20),Too high temperature gradient of intake mixture,Design for maintenance,Combustion instability,,,,,
1146,Gas Engine Type 4,Engine Block,V-room insulation,Insulates the gas from heat of the crankcase (20),Too high temperature gradient of intake mixture,"Transient engine operation (start up, cool down)",Combustion instability,,,,,
1147,Gas Engine Type 4,Engine Block,V-room insulation,Insulates the gas from heat of the crankcase (20),Too high temperature gradient of intake mixture,V-room design,Combustion instability,,,,,
1148,Gas Engine Type 4,Engine Block,V-room insulation,Insulates the gas from heat of the crankcase (20),Too high temperature gradient of intake mixture,Material selection,Combustion instability,,,,,
1149,Gas Engine Type 4,Engine Block,V-room insulation,Insulates the gas from heat of the crankcase (20),Too high temperature gradient of intake mixture,Casting tolerances (Crankcase),Combustion instability,,,,,
1150,Gas Engine Type 4,Engine Block,V-room insulation,Insulates the gas from heat of the crankcase (20),Too high temperature gradient of intake mixture,Combustion system,Combustion instability,,,,,
1151,Gas Engine Type 4,Engine Block,V-room insulation,Insulates the gas from heat of the crankcase (20),Too high temperature gradient of intake mixture,Design for maintenance,Increase of emission instability,,,,,
1152,Gas Engine Type 4,Engine Block,V-room insulation,Insulates the gas from heat of the crankcase (20),Too high temperature gradient of intake mixture,"Transient engine operation (start up, cool down)",Increase of emission instability,,,,,
1153,Gas Engine Type 4,Engine Block,V-room insulation,Insulates the gas from heat of the crankcase (20),Too high temperature gradient of intake mixture,V-room design,Increase of emission instability,,,,,
1154,Gas Engine Type 4,Engine Block,V-room insulation,Insulates the gas from heat of the crankcase (20),Too high temperature gradient of intake mixture,Material selection,Increase of emission instability,,,,,
1155,Gas Engine Type 4,Engine Block,V-room insulation,Insulates the gas from heat of the crankcase (20),Too high temperature gradient of intake mixture,Casting tolerances (Crankcase),Increase of emission instability,,,,,
1156,Gas Engine Type 4,Engine Block,V-room insulation,Insulates the gas from heat of the crankcase (20),Too high temperature gradient of intake mixture,Combustion system,Increase of emission instability,,,,,
1157,Gas Engine Type 4,Engine Block,V-room insulation,Allows Air/Gas/Mixture through the crankcase,Mechanical failure of V-room,Crankcase design,Loose metal parts get into combustion chamber or crankcase housing causing major damage,,,,,
